Day,Cash On Hand
0,3500000
1,3487400
2,3329490
3,2643180
4,2365949
5,2821462
6,1112311
7,1179895
8,75233
9,164433
10,2700980
11,2687691
12,2010130
13,1938975
14,4068431
15,2762974
16,1617661
17,2944445
18,3651099
19,1500097
20,1554861
21,1616879
22,2495789
23,2471034
24,2952897
25,2921205
26,1839297
27,1918793
28,2071080
29,2187654
30,1108670
31,216968
32,1055457
33,1240496
34,1291288
35,1425351
36,1738071
37,2581519
38,3136296
39,4956170
40,5053944
41,4927798
42,5123916
43,5246731
44,726877
45,863220
46,695476
47,818364
48,879840
49,1289967
50,1148754
51,1229210
52,1135303
53,1250678
54,1402164
55,1208265
56,1349750
57,3174401
58,3302763
59,2837082
60,2778359
61,2704606
62,2731786
63,2518855
64,2320574
65,2175848
66,1977348
67,2293693
68,1973827
69,1406721
70,1365001
71,1320506
72,1308074
73,1331350
74,979123
75,1555465
76,2179930
77,2179716
78,2534031
79,3294733
80,3751121
81,4621850
82,5937255
83,5636988
84,5274382
85,5162540
86,7311693
87,7348233
88,7043659
89,8255804
90,8794216
